STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
082270,99999, 20170101,   31.2,24,   28.4,24, 9999.9, 0, 9999.9, 0,   6.1,18,   1.6,24,   5.1, 999.9,   39.2*,  24.8*, 0.00I,999.9, 000000,
082270,99999, 20170102,   35.7,24,   32.5,24, 9999.9, 0, 9999.9, 0,   4.8,15,   3.1,24,   6.0, 999.9,   44.6*,  30.2*, 0.00I,999.9, 000000,
082270,99999, 20170103,   39.3,24,   34.5,24, 9999.9, 0, 9999.9, 0,   5.9,15,   2.3,24,   5.1, 999.9,   50.0*,  32.0*, 0.00I,999.9, 000000,
082270,99999, 20170104,   39.4,24,   36.9,24, 9999.9, 0, 9999.9, 0,   3.9,20,   3.1,24,   7.0, 999.9,   51.8*,  30.2*, 0.00I,999.9, 100000,
082270,99999, 20170105,   40.1,24,   39.2,24, 9999.9, 0, 9999.9, 0,   1.7,24,   1.9,24,   6.0, 999.9,   51.8*,  32.0*, 0.00I,999.9, 100000,
082270,99999, 20170106,   36.1,23,   26.0,23, 9999.9, 0, 9999.9, 0,   3.8, 6,   3.4,23,   7.0, 999.9,   53.6*,  24.8*, 0.00I,999.9, 000000,
082270,99999, 20170107,   34.6,24,   27.3,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   2.6,24,   7.0, 999.9,   53.6*,  23.0*, 0.00I,999.9, 000000,
082270,99999, 20170108,   36.1,24,   26.3,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   2.7,24,   8.9, 999.9,   57.2*,  23.0*, 0.00I,999.9, 000000,
082270,99999, 20170109,   37.9,24,   28.6,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   2.8,24,   8.0, 999.9,   55.4*,  26.6*, 0.00I,999.9, 000000,
082270,99999, 20170110,   43.7,24,   34.6,24, 9999.9, 0, 9999.9, 0,   6.2,16,   5.1,24,  18.1,  28.0,   53.6*,  33.8*, 0.00I,999.9, 000000,
082270,99999, 20170111,   51.1,24,   40.9,24, 9999.9, 0, 9999.9, 0,   6.2, 7,  10.2,24,  22.0,  32.1,   62.6*,  39.2*, 0.00I,999.9, 000000,
082270,99999, 20170112,   43.0,23,   39.6,23, 9999.9, 0, 9999.9, 0, 999.9, 0,   4.3,23,   8.9, 999.9,   57.2*,  32.0*, 0.00I,999.9, 000000,
082270,99999, 20170113,   42.4,24,   30.9,24, 9999.9, 0, 9999.9, 0,   6.2,16,   9.0,24,  21.0,  29.9,   50.0*,  33.8*, 0.00I,999.9, 000000,
082270,99999, 20170114,   37.6,24,   26.3,24, 9999.9, 0, 9999.9, 0,   6.2,15,   8.7,24,  18.1, 999.9,   46.4*,  28.4*, 0.00I,999.9, 000000,
082270,99999, 20170115,   40.8,24,   29.8,24, 9999.9, 0, 9999.9, 0,   6.2,19,   9.0,24,  21.0,  31.1,   50.0*,  30.2*, 0.00I,999.9, 000000,
082270,99999, 20170116,   46.9,24,   33.6,24, 9999.9, 0, 9999.9, 0,   6.2, 6,  14.7,24,  25.1,  36.9,   51.8*,  39.2*, 0.00I,999.9, 000000,
082270,99999, 20170117,   43.5,24,   27.5,24, 9999.9, 0, 9999.9, 0, 999.9, 0,  17.8,24,  31.1,  41.0,   50.0*,  30.2*, 0.00I,999.9, 000000,
082270,99999, 20170118,   30.9,22,   12.0,22, 9999.9, 0, 9999.9, 0, 999.9, 0,   8.8,22,  19.0, 999.9,   42.8*,  19.4*, 0.00I,999.9, 000000,
082270,99999, 20170119,   34.8,23,   19.9,23, 9999.9, 0, 9999.9, 0, 999.9, 0,  12.8,23,  20.0,  28.0,   44.6*,  23.0*, 0.00I,999.9, 000000,
082270,99999, 20170120,   41.2,24,   30.8,24, 9999.9, 0, 9999.9, 0,   6.2,22,  14.9,24,  19.0,  26.0,   48.2*,  39.2*, 0.00I,999.9, 000000,
082270,99999, 20170121,   42.8,23,   32.1,23, 9999.9, 0, 9999.9, 0,   6.2, 7,   8.5,23,  15.9, 999.9,   51.8*,  32.0*, 0.00I,999.9, 000000,
082270,99999, 20170122,   36.5,24,   27.6,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   3.6,24,   8.0, 999.9,   50.0*,  24.8*, 0.00I,999.9, 000000,
082270,99999, 20170123,   41.2,24,   28.6,24, 9999.9, 0, 9999.9, 0,   6.2, 8,   5.7,24,  13.0, 999.9,   55.4*,  28.4*, 0.00I,999.9, 000000,
082270,99999, 20170124,   36.8,24,   26.1,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   3.5,24,   8.0, 999.9,   53.6*,  24.8*, 0.00I,999.9, 000000,
082270,99999, 20170125,   34.9,24,   23.6,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   3.6,24,   7.0, 999.9,   51.8*,  23.0*, 0.00I,999.9, 000000,
082270,99999, 20170126,   34.3,24,   27.4,24, 9999.9, 0, 9999.9, 0,   6.2,17,   3.0,24,  12.0, 999.9,   48.2*,  21.2*,99.99 ,999.9, 010000,
082270,99999, 20170127,   40.5,24,   38.5,24, 9999.9, 0, 9999.9, 0,   5.5,24,   3.1,24,  11.1, 999.9,   42.8*,  35.6*,99.99 ,999.9, 010000,
082270,99999, 20170128,   39.4,24,   34.9,24, 9999.9, 0, 9999.9, 0,   6.0,17,   3.4,24,  12.0, 999.9,   51.8*,  32.0*, 0.00I,999.9, 000000,
082270,99999, 20170129,   42.2,24,   41.8,24, 9999.9, 0, 9999.9, 0,   2.4,22,   1.7,24,   6.0, 999.9,   48.2*,  35.6*, 0.00I,999.9, 100000,
082270,99999, 20170130,   48.9,24,   48.0,24, 9999.9, 0, 9999.9, 0,   4.0,24,   1.5,24,   8.0, 999.9,   51.8*,  46.4*,99.99 ,999.9, 110000,
