STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
260380,99999, 20170101,   37.3,24,   36.1,24, 9999.9, 0, 9999.9, 0,   5.6,21,   5.4,24,   8.0,  12.0,   42.6 ,  30.2 , 0.03G,999.9, 111000,
260380,99999, 20170102,   27.9,24,   24.9,24, 9999.9, 0, 9999.9, 0,   5.5,24,   4.3,24,   7.0,  10.1,   30.9 ,  24.8*, 0.10G,999.9, 001000,
260380,99999, 20170103,   23.8,24,   22.7,24, 9999.9, 0, 9999.9, 0,   5.5,24,   5.6,24,  12.0,  15.2,   26.8 ,  17.6*, 0.04G,999.9, 001000,
260380,99999, 20170104,   14.9,24,   11.2,24, 9999.9, 0, 9999.9, 0,   4.2,24,  16.9,24,  22.0,  33.0,   19.6 ,   9.5 , 0.03G,  2.0, 001000,
260380,99999, 20170105,    9.6,24,    4.5,24, 9999.9, 0, 9999.9, 0,   2.9,24,  13.6,24,  19.4,  30.5,   11.3 ,   8.1 , 0.05G,999.9, 001000,
260380,99999, 20170106,    9.2,24,    5.4,24, 9999.9, 0, 9999.9, 0,   6.1,18,   5.3,24,   9.3,  13.8,   15.1 ,   3.2*, 0.01G,  3.1, 001000,
260380,99999, 20170107,   15.8,24,   13.7,24, 9999.9, 0, 9999.9, 0,   5.6,24,  10.3,24,  14.0,  22.0,   26.8 ,   5.0*, 0.06G,999.9, 001000,
260380,99999, 20170108,   30.1,24,   28.6,24, 9999.9, 0, 9999.9, 0,   6.2,24,   9.1,24,  13.0,  15.2,   32.5 ,  26.6*, 0.01G,999.9, 001000,
260380,99999, 20170109,   33.3,24,   32.5,24, 9999.9, 0, 9999.9, 0,   4.8,24,  10.2,24,  15.0,  16.1,   34.3 ,  31.5 , 0.02G,999.9, 011000,
260380,99999, 20170110,   33.3,24,   31.4,24, 9999.9, 0, 9999.9, 0,   5.4,24,  11.9,24,  17.1,  22.9,   36.5 ,  30.0 , 0.04G,999.9, 010000,
260380,99999, 20170111,   24.8,24,   19.3,24, 9999.9, 0, 9999.9, 0,   6.1,13,  14.4,24,  18.1,  32.1,   30.2*,  20.7 , 0.02G,  0.8, 000000,
260380,99999, 20170112,   24.2,24,   18.4,24, 9999.9, 0, 9999.9, 0,   6.1,19,  14.5,24,  20.0,  34.0,   28.4*,  21.2*, 0.79G,999.9, 001000,
260380,99999, 20170113,   33.2,24,   31.2,24, 9999.9, 0, 9999.9, 0,   6.0,24,   8.9,24,  12.0,  17.5,   35.6*,  27.9 , 0.04G,999.9, 011000,
260380,99999, 20170114,   32.1,24,   30.0,24, 9999.9, 0, 9999.9, 0,   6.2,24,   3.8,24,   6.0, 999.9,   33.8*,  30.0 , 0.39G,999.9, 001000,
260380,99999, 20170115,   30.0,24,   27.6,24, 9999.9, 0, 9999.9, 0,   6.4,24,   4.9,24,   8.0,  11.5,   32.0*,  23.5 , 0.04G,999.9, 011000,
260380,99999, 20170116,   25.6,24,   22.8,24, 9999.9, 0, 9999.9, 0,   6.5,24,   3.9,24,   7.0, 999.9,   27.1 ,  23.0*, 0.79G,999.9, 001000,
260380,99999, 20170117,   26.0,24,   23.5,24, 9999.9, 0, 9999.9, 0,   6.5,21,   6.6,24,  12.0, 999.9,   28.8 ,  23.9 , 0.79G,999.9, 001000,
260380,99999, 20170118,   32.7,23,   31.6,23, 9999.9, 0, 9999.9, 0,   3.8,23,  11.1,23,  15.9,  19.0,   35.6*,  28.0 , 0.04G,999.9, 011000,
260380,99999, 20170119,   35.7,24,   34.7,24, 9999.9, 0, 9999.9, 0,   4.3,20,  13.2,24,  19.0,  20.6,   37.4*,  34.5 , 0.02G,999.9, 010000,
260380,99999, 20170120,   33.1,24,   30.3,24, 9999.9, 0, 9999.9, 0,   4.8,17,   8.4,24,  14.0,  14.2,   36.1 ,  26.6*, 0.03G,999.9, 111000,
260380,99999, 20170121,   31.9,24,   28.8,24, 9999.9, 0, 9999.9, 0,   7.0, 8,   8.2,24,  12.0,  13.4,   36.1 ,  26.6*, 0.01G,999.9, 000000,
260380,99999, 20170122,   36.0,24,   33.2,24, 9999.9, 0, 9999.9, 0,   5.9,13,  12.4,24,  19.0,  21.4,   41.2 ,  32.5 , 0.00G,999.9, 010100,
