STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
765773,99999, 20170101,   60.2,21,   45.2,21, 1014.6, 7, 9999.9, 0,   8.1,21,   3.1,21,   7.0, 999.9,   71.6*,  46.4*, 0.00I,999.9, 000000,
765773,99999, 20170102,   59.4,20,   40.0,20, 1015.6, 6, 9999.9, 0,   9.0,20,   3.7,20,   7.0, 999.9,   77.0*,  42.8*, 0.00I,999.9, 000000,
765773,99999, 20170103,   61.0,20,   36.0,20, 1016.3, 7, 9999.9, 0,   8.8,20,   3.1,20,   7.0, 999.9,   80.6*,  39.2*, 0.00I,999.9, 000000,
765773,99999, 20170104,   62.8,20,   37.3,20, 1013.9, 7, 9999.9, 0,   8.5,20,   2.9,20,   7.0, 999.9,   80.6*,  44.6*, 0.00I,999.9, 000000,
765773,99999, 20170105,   63.8,19,   34.8,19, 1011.5, 6, 9999.9, 0,   8.3,19,   4.7,19,  11.1, 999.9,   82.4*,  44.6*, 0.00I,999.9, 000000,
765773,99999, 20170106,   62.5,20,   29.5,20, 1011.5, 7, 9999.9, 0,   8.8,20,   3.3,20,   7.0, 999.9,   82.4*,  44.6*, 0.00I,999.9, 000000,
765773,99999, 20170107,   62.7,21,   35.9,21, 1015.4, 8, 9999.9, 0,   8.8,21,   4.3,21,   8.9, 999.9,   77.0*,  44.6*, 0.00I,999.9, 000000,
765773,99999, 20170108,   55.6,20,   37.2,20, 1024.2, 6, 9999.9, 0,   9.0,20,   8.4,20,  14.0, 999.9,   69.8*,  41.0*, 0.00I,999.9, 000000,
765773,99999, 20170109,   54.1,21,   34.0,21, 1024.2, 6, 9999.9, 0,   8.4,21,   5.0,21,   9.9, 999.9,   71.6*,  37.4*, 0.00I,999.9, 000000,
765773,99999, 20170110,   56.0,20,   21.4,20, 1019.9, 7, 9999.9, 0,  10.5,20,   3.0,20,   8.9, 999.9,   73.4*,  33.8*, 0.00I,999.9, 000000,
765773,99999, 20170111,   58.4,21,   19.7,21, 1016.7, 7, 9999.9, 0,   9.0,21,   3.2,21,  11.1, 999.9,   77.0*,  39.2*, 0.00I,999.9, 000000,
