STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
787920,99999, 20170101,   81.1,24,   74.8,24, 9999.9, 0, 9999.9, 0,   5.4,24,   4.9,24,  17.1, 999.9,   89.6*,  73.4*, 0.00I,999.9, 000000,
787920,99999, 20170102,   80.5,24,   74.0,24, 9999.9, 0, 9999.9, 0,   6.0,24,   3.2,24,  14.0, 999.9,   91.4*,  73.4*, 0.00I,999.9, 000000,
787920,99999, 20170103,   80.1,24,   73.0,24, 9999.9, 0, 9999.9, 0,   6.1,18,   2.1,24,  11.1, 999.9,   89.6*,  71.6*, 0.00I,999.9, 000000,
787920,99999, 20170104,   80.1,24,   71.6,24, 9999.9, 0, 9999.9, 0,   6.1,24,   2.7,24,   8.0, 999.9,   91.4*,  69.8*, 0.00I,999.9, 000000,
787920,99999, 20170105,   79.2,24,   70.9,24, 9999.9, 0, 9999.9, 0,   6.2,14,   3.4,24,   8.9, 999.9,   91.4*,  68.0*, 0.00I,999.9, 000000,
787920,99999, 20170106,   78.6,24,   71.4,24, 9999.9, 0, 9999.9, 0,   6.2,24,   2.6,24,   9.9, 999.9,   89.6*,  68.0*, 0.00I,999.9, 000000,
787920,99999, 20170107,   79.7,23,   73.9,23, 9999.9, 0, 9999.9, 0,   5.8,23,   1.4,22,   6.0, 999.9,   91.4*,  71.6*, 0.00I,999.9, 000000,
787920,99999, 20170108,   80.8,24,   74.9,24, 9999.9, 0, 9999.9, 0,   5.9,24,   5.2,24,  15.0, 999.9,   89.6*,  73.4*, 0.00I,999.9, 000000,
787920,99999, 20170109,   82.4,23,   71.1,23, 9999.9, 0, 9999.9, 0,   6.1,23,  10.1,23,  15.9,  26.0,   89.6*,  78.8*, 0.00I,999.9, 000000,
787920,99999, 20170110,   80.1,24,   71.1,24, 9999.9, 0, 9999.9, 0,   6.1,24,   8.1,24,  17.1,  27.0,   87.8*,  73.4*, 0.00I,999.9, 000000,
787920,99999, 20170111,   79.2,24,   69.8,24, 9999.9, 0, 9999.9, 0,   6.2,24,   6.1,24,  15.0, 999.9,   87.8*,  68.0*, 0.00I,999.9, 000000,
787920,99999, 20170112,   77.9,23,   70.8,23, 9999.9, 0, 9999.9, 0,   6.1,23,   4.9,23,  15.0, 999.9,   89.6*,  69.8*, 0.00I,999.9, 000000,
787920,99999, 20170113,   80.2,24,   72.1,24, 9999.9, 0, 9999.9, 0,   6.1,24,   8.5,24,  18.1, 999.9,   87.8*,  71.6*,99.99 ,999.9, 010000,
787920,99999, 20170114,   80.6,24,   68.9,24, 9999.9, 0, 9999.9, 0,   6.2,24,  10.5,24,  15.9, 999.9,   87.8*,  75.2*, 0.00I,999.9, 000000,
787920,99999, 20170115,   77.7,24,   68.1,24, 9999.9, 0, 9999.9, 0,   6.1,24,   3.9,24,  12.0, 999.9,   89.6*,  68.0*, 0.00I,999.9, 000000,
787920,99999, 20170116,   78.2,24,   68.5,24, 9999.9, 0, 9999.9, 0,   6.1,24,   4.1,24,  12.0, 999.9,   89.6*,  68.0*, 0.00I,999.9, 000000,
787920,99999, 20170117,   78.9,23,   68.9,23, 9999.9, 0, 9999.9, 0,   6.2,10,   4.6,23,  12.0, 999.9,   91.4*,  68.0*, 0.00I,999.9, 000000,
787920,99999, 20170118,   79.5,22,   69.5,22, 9999.9, 0, 9999.9, 0,   5.9,12,   5.7,22,  12.0, 999.9,   91.4*,  69.8*, 0.00I,999.9, 000000,
787920,99999, 20170119,   77.1,24,   69.7,24, 9999.9, 0, 9999.9, 0,   6.0,17,   2.8,24,   6.0, 999.9,   89.6*,  66.2*, 0.00I,999.9, 000000,
787920,99999, 20170120,   77.5,24,   70.1,24, 9999.9, 0, 9999.9, 0,   6.1,24,   2.3,24,   7.0, 999.9,   89.6*,  66.2*, 0.00I,999.9, 000000,
787920,99999, 20170121,   77.2,23,   70.7,23, 9999.9, 0, 9999.9, 0,   6.1,16,   3.4,23,   8.9, 999.9,   87.8*,  66.2*, 0.00I,999.9, 000000,
787920,99999, 20170122,   77.1,24,   70.7,23, 9999.9, 0, 9999.9, 0,   6.1,24,   3.0,24,   8.0, 999.9,   87.8*,  66.2*, 0.00I,999.9, 000000,
787920,99999, 20170123,   77.1,24,   71.2,24, 9999.9, 0, 9999.9, 0,   6.1,24,   3.1,24,   9.9, 999.9,   87.8*,  66.2*, 0.00I,999.9, 000000,
787920,99999, 20170124,   77.0,24,   71.4,24, 9999.9, 0, 9999.9, 0,   6.1,24,   2.7,24,   8.9, 999.9,   87.8*,  66.2*, 0.00I,999.9, 000000,
787920,99999, 20170125,   76.0,24,   66.5,24, 9999.9, 0, 9999.9, 0,   6.1,24,   4.4,24,  15.9, 999.9,   89.6*,  62.6*, 0.00I,999.9, 000000,
787920,99999, 20170126,   79.8,24,   69.7,24, 9999.9, 0, 9999.9, 0,   6.1,17,   5.5,24,  13.0, 999.9,   91.4*,  69.8*, 0.00I,999.9, 000000,
787920,99999, 20170127,   80.4,23,   71.8,23, 9999.9, 0, 9999.9, 0,   6.1,23,   4.9,23,  13.0, 999.9,   91.4*,  69.8*, 0.00I,999.9, 000000,
787920,99999, 20170128,   81.9,24,   69.9,24, 9999.9, 0, 9999.9, 0,   6.0,17,   6.1,24,  14.0, 999.9,   91.4*,  73.4*, 0.00I,999.9, 000000,
787920,99999, 20170129,   81.3,24,   70.1,24, 9999.9, 0, 9999.9, 0,   6.2,24,   7.3,24,  18.1, 999.9,   93.2*,  73.4*, 0.00I,999.9, 000000,
787920,99999, 20170130,   82.6,24,   67.6,24, 9999.9, 0, 9999.9, 0,   6.1,24,   7.8,24,  17.1, 999.9,   91.4*,  73.4*, 0.00I,999.9, 000000,
787920,99999, 20170131,   81.8,24,   70.8,24, 9999.9, 0, 9999.9, 0,   5.9,24,   6.3,24,  14.0, 999.9,   89.6*,  71.6*, 0.00I,999.9, 000000,
787920,99999, 20170201,   81.4,24,   72.3,24, 9999.9, 0, 9999.9, 0,   6.2,24,   5.9,24,  15.0, 999.9,   91.4*,  73.4*, 0.00I,999.9, 000000,
787920,99999, 20170202,   80.7,23,   69.6,23, 9999.9, 0, 9999.9, 0,   6.2,23,   6.0,23,  15.0, 999.9,   91.4*,  73.4*, 0.00I,999.9, 000000,
787920,99999, 20170203,   81.1,23,   69.3,23, 9999.9, 0, 9999.9, 0,   6.1,23,   6.3,23,  12.0, 999.9,   91.4*,  73.4*, 0.00I,999.9, 000000,
787920,99999, 20170204,   80.4,24,   72.4,24, 9999.9, 0, 9999.9, 0,   6.1,24,   4.0,24,  15.9, 999.9,   93.2*,  71.6*, 0.00I,999.9, 000000,
787920,99999, 20170205,   81.6,24,   72.0,24, 9999.9, 0, 9999.9, 0,   6.0,24,   5.5,24,  17.1, 999.9,   93.2*,  73.4*, 0.00I,999.9, 000000,
787920,99999, 20170206,   83.6,24,   72.7,24, 9999.9, 0, 9999.9, 0,   6.0,24,   7.2,24,  18.1, 999.9,   93.2*,  75.2*, 0.00I,999.9, 000000,
787920,99999, 20170207,   84.1,24,   72.6,24, 9999.9, 0, 9999.9, 0,   6.1,24,   5.9,24,  15.9, 999.9,   93.2*,  77.0*, 0.00I,999.9, 000000,
787920,99999, 20170208,   84.3,24,   72.6,24, 9999.9, 0, 9999.9, 0,   6.1,24,   6.0,24,  14.0, 999.9,   95.0*,  78.8*, 0.00I,999.9, 000000,
787920,99999, 20170209,   81.2,24,   71.1,24, 9999.9, 0, 9999.9, 0,   6.1,21,   3.3,24,   8.9, 999.9,   93.2*,  71.6*, 0.00I,999.9, 000000,
787920,99999, 20170210,   83.7,24,   69.1,24, 9999.9, 0, 9999.9, 0,   6.1,24,  10.4,24,  20.0,  28.0,   91.4*,  75.2*, 0.00I,999.9, 000000,
787920,99999, 20170211,   82.3,24,   65.6,24, 9999.9, 0, 9999.9, 0,   6.1,24,  10.1,24,  22.0, 999.9,   91.4*,  77.0*, 0.00I,999.9, 000000,
787920,99999, 20170212,   80.3,24,   69.6,24, 9999.9, 0, 9999.9, 0,   6.1,24,   6.9,24,  15.0, 999.9,   91.4*,  69.8*, 0.00I,999.9, 000000,
787920,99999, 20170213,   79.8,24,   70.5,24, 9999.9, 0, 9999.9, 0,   6.2,24,   3.5,24,   8.9, 999.9,   89.6*,  69.8*, 0.00I,999.9, 000000,
787920,99999, 20170214,   78.3,24,   70.6,24, 9999.9, 0, 9999.9, 0,   6.1,24,   3.6,24,   8.9, 999.9,   89.6*,  68.0*,99.99 ,999.9, 010000,
