STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
037720,99999, 20170101,   43.2,24,   42.6,24, 9999.9, 0, 9999.9, 0,   5.0,24,   6.9,24,  12.0,  20.0,   50.0*,  39.2*, 0.01G,999.9, 010000,
037720,99999, 20170102,   37.3,24,   34.4,24, 9999.9, 0, 9999.9, 0,   6.4,24,   4.6,24,   8.0, 999.9,   41.7*,  30.2*, 0.26G,999.9, 000000,
037720,99999, 20170103,   35.1,24,   31.9,24, 9999.9, 0, 9999.9, 0,   6.2,24,   7.4,24,  13.0, 999.9,   42.8*,  26.8 , 0.00G,999.9, 000000,
037720,99999, 20170104,   40.5,24,   33.5,24, 9999.9, 0, 9999.9, 0,   7.0,24,   6.8,24,  12.0, 999.9,   46.9*,  33.8*, 0.01G,999.9, 010000,
037720,99999, 20170105,   34.8,24,   29.5,24, 9999.9, 0, 9999.9, 0,   5.9,24,   2.3,24,   5.1, 999.9,   44.6*,  27.9 , 0.00G,999.9, 000000,
037720,99999, 20170106,   36.3,24,   34.6,24, 9999.9, 0, 9999.9, 0,   4.2,24,   4.8,24,   8.9, 999.9,   44.6*,  26.2 , 0.00G,999.9, 110000,
037720,99999, 20170107,   48.5,24,   47.9,24, 9999.9, 0, 9999.9, 0,   3.6,24,   4.4,24,   9.9, 999.9,   51.8*,  40.3 , 0.24G,999.9, 010000,
037720,99999, 20170108,   47.7,24,   47.6,24, 9999.9, 0, 9999.9, 0,   2.8,24,   2.9,24,   6.0, 999.9,   48.9*,  45.5 , 0.01G,999.9, 110000,
037720,99999, 20170109,   46.4,24,   45.3,24, 9999.9, 0, 9999.9, 0,   4.7,24,   9.3,24,  15.9, 999.9,   50.0*,  39.2*, 0.06G,999.9, 110000,
037720,99999, 20170110,   43.5,24,   41.1,24, 9999.9, 0, 9999.9, 0,   6.2,24,   8.1,24,  11.1, 999.9,   48.2*,  35.8 , 0.12G,999.9, 010000,
037720,99999, 20170111,   47.1,24,   39.1,24, 9999.9, 0, 9999.9, 0,   5.8,24,  10.3,24,  15.9,  27.0,   52.0*,  41.9*, 0.00G,999.9, 000000,
037720,99999, 20170112,   40.5,24,   36.1,24, 9999.9, 0, 9999.9, 0,   5.7,24,   8.5,24,  14.0, 999.9,   44.6*,  33.6*, 0.00G,999.9, 011000,
037720,99999, 20170113,   37.1,24,   30.5,24, 9999.9, 0, 9999.9, 0,   7.0,24,  11.4,24,  19.0,  32.1,   44.6*,  32.0*, 0.61G,999.9, 011000,
037720,99999, 20170114,   36.8,24,   32.7,24, 9999.9, 0, 9999.9, 0,   6.6,24,   6.7,24,  11.1, 999.9,   42.8*,  31.1 , 0.01G,999.9, 010000,
037720,99999, 20170115,   42.1,24,   41.8,24, 9999.9, 0, 9999.9, 0,   4.9,24,   5.0,24,   8.9, 999.9,   48.2*,  32.0*, 0.09G,999.9, 010000,
037720,99999, 20170116,   42.0,24,   41.3,24, 9999.9, 0, 9999.9, 0,   4.3,24,   3.7,24,   5.1, 999.9,   46.6*,  39.2*, 0.21G,999.9, 010000,
037720,99999, 20170117,   36.7,24,   31.7,24, 9999.9, 0, 9999.9, 0,   4.8,23,   2.9,24,   5.1, 999.9,   43.0*,  30.2*, 0.14G,999.9, 000000,
037720,99999, 20170118,   33.7,23,   26.6,23, 9999.9, 0, 9999.9, 0,   4.4,22,   1.8,23,   4.1, 999.9,   41.2*,  26.1 , 0.00G,999.9, 000000,
037720,99999, 20170119,   35.2,24,   29.2,24, 9999.9, 0, 9999.9, 0,   5.2,24,   3.3,24,   6.0, 999.9,   44.6*,  26.6 , 0.00G,999.9, 000000,
037720,99999, 20170120,   35.3,24,   28.1,24, 9999.9, 0, 9999.9, 0,   5.8,24,   4.6,24,   8.9, 999.9,   44.8*,  28.4*, 0.00G,999.9, 100000,
037720,99999, 20170121,   32.7,24,   26.3,24, 9999.9, 0, 9999.9, 0,   5.7,24,   4.8,24,   9.9, 999.9,   41.0*,  26.6*, 0.00G,999.9, 000000,
037720,99999, 20170122,   32.0,24,   29.2,24, 9999.9, 0, 9999.9, 0,   2.8,24,   2.0,24,   4.1, 999.9,   43.3*,  24.4 , 0.00G,999.9, 000000,
037720,99999, 20170123,   32.7,24,   32.2,24, 9999.9, 0, 9999.9, 0,   1.0,24,   2.5,24,   4.1, 999.9,   39.9*,  24.4 , 0.00G,999.9, 100000,
037720,99999, 20170124,   37.5,24,   35.3,24, 9999.9, 0, 9999.9, 0,   2.9,24,   2.8,24,   7.0, 999.9,   48.9*,  28.4*, 0.01G,999.9, 100000,
037720,99999, 20170125,   33.8,24,   33.7,24, 9999.9, 0, 9999.9, 0,   1.9,24,   3.4,24,   8.9, 999.9,   39.2*,  26.6*, 0.00G,999.9, 110000,
037720,99999, 20170126,   31.0,24,   28.6,24, 9999.9, 0, 9999.9, 0,   3.0,24,   7.7,24,  12.0, 999.9,   32.5*,  28.2*, 0.01G,999.9, 000000,
037720,99999, 20170127,   37.8,24,   35.1,24, 9999.9, 0, 9999.9, 0,   3.5,24,   6.1,24,  11.1, 999.9,   44.6*,  27.7 , 0.00G,999.9, 000000,
037720,99999, 20170128,   44.8,24,   40.1,24, 9999.9, 0, 9999.9, 0,   6.3,24,   9.0,24,  13.0, 999.9,   50.0*,  39.2*, 0.00G,999.9, 010000,
037720,99999, 20170129,   42.7,24,   42.0,24, 9999.9, 0, 9999.9, 0,   5.9,24,   7.8,24,  12.0, 999.9,   50.0*,  35.2 , 0.04G,999.9, 010000,
037720,99999, 20170130,   45.8,24,   45.1,24, 9999.9, 0, 9999.9, 0,   4.6,24,   5.8,24,   9.9, 999.9,   50.0*,  42.4*, 0.41G,999.9, 010000,
037720,99999, 20170131,   45.0,24,   44.9,24, 9999.9, 0, 9999.9, 0,   3.5,24,   7.1,24,  11.1, 999.9,   48.6*,  42.1*, 0.03G,999.9, 010000,
037720,99999, 20170201,   50.4,24,   49.9,24, 9999.9, 0, 9999.9, 0,   4.6,24,   8.4,24,  13.0,  19.0,   53.6*,  46.9 , 0.12G,999.9, 010000,
037720,99999, 20170202,   50.6,24,   48.5,24, 9999.9, 0, 9999.9, 0,   5.8,24,  12.8,24,  17.1,  28.0,   52.5 ,  48.2*, 0.06G,999.9, 010000,
037720,99999, 20170203,   46.9,24,   43.5,24, 9999.9, 0, 9999.9, 0,   5.8,24,  12.4,24,  22.9,  35.9,   50.5*,  39.2*, 0.08G,999.9, 010000,
037720,99999, 20170204,   41.2,24,   37.9,24, 9999.9, 0, 9999.9, 0,   6.7,24,   4.2,24,   9.9, 999.9,   49.6*,  35.4 , 0.08G,999.9, 010000,
037720,99999, 20170205,   40.1,24,   39.0,24, 9999.9, 0, 9999.9, 0,   6.8,24,   5.0,24,   8.0, 999.9,   41.7*,  36.9 , 0.04G,999.9, 010000,
037720,99999, 20170206,   39.2,24,   37.0,24, 9999.9, 0, 9999.9, 0,   4.5,24,   5.1,24,  11.1, 999.9,   45.3*,  31.1 , 0.00G,999.9, 110000,
037720,99999, 20170207,   44.3,24,   40.9,24, 9999.9, 0, 9999.9, 0,   4.6,24,   4.6,24,   8.0,  14.0,   51.8*,  37.4*, 0.28G,999.9, 010000,
037720,99999, 20170208,   39.9,24,   36.8,24, 9999.9, 0, 9999.9, 0,   5.3,24,   4.3,24,   7.0, 999.9,   41.2*,  37.0*, 0.01G,999.9, 010000,
037720,99999, 20170209,   35.6,24,   32.6,24, 9999.9, 0, 9999.9, 0,   4.7,24,   6.4,24,   8.9, 999.9,   37.4*,  33.8*, 0.00G,999.9, 011000,
037720,99999, 20170210,   34.7,24,   33.6,24, 9999.9, 0, 9999.9, 0,   2.4,24,   6.0,24,   8.0, 999.9,   36.0*,  33.8*, 0.02G,999.9, 011000,
037720,99999, 20170211,   35.0,24,   33.4,24, 9999.9, 0, 9999.9, 0,   3.1,24,   6.1,24,   8.9, 999.9,   37.4*,  33.1*, 0.02G,999.9, 011000,
037720,99999, 20170212,   37.6,24,   36.1,24, 9999.9, 0, 9999.9, 0,   2.8,24,   8.6,24,  14.0, 999.9,   42.8*,  35.1*, 0.05G,999.9, 010000,
037720,99999, 20170213,   42.8,24,   38.4,24, 9999.9, 0, 9999.9, 0,   3.0,24,  11.9,24,  15.9, 999.9,   50.4*,  39.2*, 0.00G,999.9, 000000,
037720,99999, 20170214,   44.6,24,   40.0,24, 9999.9, 0, 9999.9, 0,   5.0,24,   6.9,24,   9.9, 999.9,   53.6*,  35.6*, 0.00G,999.9, 000000,
037720,99999, 20170215,   48.2,24,   47.3,24, 9999.9, 0, 9999.9, 0,   4.6,24,   7.1,24,  13.0, 999.9,   52.7*,  44.4*, 0.00G,999.9, 110000,
037720,99999, 20170216,   46.9,24,   43.8,24, 9999.9, 0, 9999.9, 0,   5.9,24,   7.3,24,  12.0, 999.9,   52.9*,  40.6 , 0.06G,999.9, 010000,
037720,99999, 20170217,   48.1,24,   43.9,24, 9999.9, 0, 9999.9, 0,   6.5,24,   5.8,24,   8.9, 999.9,   55.6*,  42.8*, 0.01G,999.9, 010000,
037720,99999, 20170218,   45.9,24,   42.3,24, 9999.9, 0, 9999.9, 0,   4.2,24,   6.3,24,   8.9,  17.1,   55.4*,  41.0*, 0.00G,999.9, 000000,
037720,99999, 20170219,   47.0,24,   43.5,24, 9999.9, 0, 9999.9, 0,   4.7,24,   7.2,24,  11.1, 999.9,   54.7*,  37.4*, 0.00G,999.9, 010000,
037720,99999, 20170220,   54.4,24,   50.3,24, 9999.9, 0, 9999.9, 0,   6.1,24,  10.4,24,  17.1, 999.9,   64.4*,  49.3 , 0.00G,999.9, 000000,
037720,99999, 20170221,   53.0,24,   49.5,24, 9999.9, 0, 9999.9, 0,   5.9,24,  11.8,24,  19.0, 999.9,   56.3*,  49.6 , 0.06G,999.9, 010000,
037720,99999, 20170222,   53.6,24,   49.2,24, 9999.9, 0, 9999.9, 0,   6.8,24,  16.1,24,  22.0,  31.1,   57.2 ,  51.1*, 0.01G,999.9, 010000,
037720,99999, 20170223,   49.2,24,   40.7,24, 9999.9, 0, 9999.9, 0,   6.4,24,  20.3,24,  33.0,  46.0,   52.2 ,  41.0*, 0.01G,999.9, 010000,
037720,99999, 20170224,   42.7,24,   33.0,24, 9999.9, 0, 9999.9, 0,   7.2,24,   7.6,24,  13.0, 999.9,   50.0*,  35.6*, 0.08G,999.9, 010000,
037720,99999, 20170225,   47.1,24,   42.6,24, 9999.9, 0, 9999.9, 0,   6.3,24,  11.7,24,  18.1,  24.1,   50.9*,  40.6 , 0.00G,999.9, 010000,
037720,99999, 20170226,   50.5,24,   46.4,24, 9999.9, 0, 9999.9, 0,   6.2,24,  13.8,24,  21.0,  32.1,   54.9 ,  46.2*, 0.05G,999.9, 010000,
037720,99999, 20170227,   44.4,24,   41.3,24, 9999.9, 0, 9999.9, 0,   6.1,24,  10.6,24,  19.0,  26.0,   48.2*,  37.4*, 0.28G,999.9, 010000,
037720,99999, 20170228,   40.3,24,   35.7,24, 9999.9, 0, 9999.9, 0,   6.7,24,  11.0,24,  19.0, 999.9,   46.4*,  33.6 , 0.28G,999.9, 010000,
037720,99999, 20170301,   45.0,24,   39.8,24, 9999.9, 0, 9999.9, 0,   7.2,24,  10.1,24,  22.9, 999.9,   48.7*,  40.8 , 0.06G,999.9, 010000,
037720,99999, 20170302,   46.0,24,   33.5,24, 9999.9, 0, 9999.9, 0,   6.5,24,  15.9,24,  25.1,  35.0,   52.2*,  40.8 , 0.02G,999.9, 000000,
037720,99999, 20170303,   46.8,24,   43.5,24, 9999.9, 0, 9999.9, 0,   6.1,24,   7.7,24,  12.0, 999.9,   52.2*,  40.6 , 0.00G,999.9, 010000,
037720,99999, 20170304,   47.5,24,   42.1,24, 9999.9, 0, 9999.9, 0,   6.3,24,   9.4,24,  15.9,  24.1,   53.6*,  44.6*, 0.24G,999.9, 010000,
037720,99999, 20170305,   45.4,24,   39.7,24, 9999.9, 0, 9999.9, 0,   6.5,24,  13.2,24,  21.0,  32.1,   52.2 ,  42.1 , 0.01G,999.9, 010000,
037720,99999, 20170306,   44.5,24,   37.2,24, 9999.9, 0, 9999.9, 0,   6.4,24,   8.0,24,  13.0, 999.9,   50.4*,  36.7 , 0.18G,999.9, 010000,
037720,99999, 20170307,   45.4,24,   37.5,24, 9999.9, 0, 9999.9, 0,   7.0,24,   7.6,24,  11.1, 999.9,   52.5*,  39.2*, 0.00G,999.9, 010000,
037720,99999, 20170308,   51.7,24,   48.3,24, 9999.9, 0, 9999.9, 0,   6.0,24,  10.2,24,  14.0, 999.9,   59.0*,  44.8 , 0.08G,999.9, 010000,
037720,99999, 20170309,   55.0,24,   44.2,24, 9999.9, 0, 9999.9, 0,   6.2,24,   7.7,24,  15.0, 999.9,   61.2*,  46.4*, 0.03G,999.9, 000000,
037720,99999, 20170310,   49.1,24,   45.3,24, 9999.9, 0, 9999.9, 0,   6.0,24,   6.1,24,   8.9, 999.9,   55.4*,  42.8*, 0.00G,999.9, 010000,
037720,99999, 20170311,   54.2,24,   49.5,24, 9999.9, 0, 9999.9, 0,   4.0,24,   5.6,24,   8.0, 999.9,   62.6*,  50.0*, 0.00G,999.9, 000000,
037720,99999, 20170312,   51.4,24,   47.3,24, 9999.9, 0, 9999.9, 0,   5.2,24,   3.5,24,   7.0, 999.9,   54.0*,  48.2*, 0.00G,999.9, 010000,
