STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
115190,99999, 20170101,   22.9,16,   20.8,16, 1023.2,16,  990.7,16,   0.9,16,   1.9,16,   1.9, 999.9,   27.5*,  19.2*,99.99 ,999.9, 101000,
115190,99999, 20170102,   28.7,16,   24.9,16, 1018.9,16,  986.9,16,   5.6,16,   7.6,16,  13.6, 999.9,   32.4*,  22.1*,99.99 ,999.9, 101000,
115190,99999, 20170103,   32.6,16,   25.8,16, 1019.8,16,  988.1,16,  13.4,16,  13.5,16,  17.5, 999.9,   35.4*,  27.9*,99.99 ,999.9, 001000,
115190,99999, 20170104,   34.6,16,   28.0,16, 1006.3,16,  975.1,16,  13.8,16,  17.1,16,  21.4, 999.9,   38.3*,  32.2*,99.99 ,999.9, 011000,
115190,99999, 20170105,   26.8,16,   20.1,16, 1024.3,16,  992.0,16,  16.4,16,   9.3,16,  13.6, 999.9,   30.6*,  21.2*,99.99 ,999.9, 001000,
115190,99999, 20170106,   20.1,16,   13.8,16, 1039.5,16, 1006.3,16,  17.0,16,   8.5,16,  11.7, 999.9,   22.6*,  18.1*,99.99 ,999.9, 001000,
115190,99999, 20170107,   17.1,16,   11.1,16, 1034.8,16, 1001.5,16,   8.2,16,   4.7,16,   7.8, 999.9,   21.0*,  11.5*,99.99 ,999.9, 001000,
115190,99999, 20170108,   24.4,16,   21.1,16, 1029.3,16,  996.8,16,   2.8,16,   1.9,16,   1.9, 999.9,   27.5*,  20.8*,99.99 ,999.9, 011000,
115190,99999, 20170109,   29.3,16,   26.6,16, 1027.0,16,  994.9,16,   2.9,16,   2.5,16,   3.9, 999.9,   30.4*,  27.5*,99.99 ,999.9, 011000,
115190,99999, 20170110,   24.2,16,   16.7,16, 1018.6,16,  986.4,16,   8.1,16,   6.7,16,  11.7, 999.9,   29.8*,  13.8*, 0.00I,999.9, 000000,
115190,99999, 20170111,   20.0,16,   14.4,16, 1014.1,16,  981.8,16,   5.8,16,   5.9,16,  13.6, 999.9,   35.6*,   9.1*,99.99 ,999.9, 011000,
115190,99999, 20170112,   37.2,16,   29.5,16, 1007.9,16,  976.8,16,  15.6,16,   9.7,16,  17.5, 999.9,   39.4*,  35.1*,99.99 ,999.9, 010000,
115190,99999, 20170113,   36.7,16,   28.4,16,  996.5,16,  965.8,16,  15.8,16,  12.6,16,  19.4, 999.9,   40.5*,  34.2*,99.99 ,999.9, 011000,
115190,99999, 20170114,   33.2,16,   25.3,16, 1005.6,16,  974.4,16,  13.1,16,  10.0,16,  13.6, 999.9,   35.6*,  30.6*,99.99 ,999.9, 001000,
115190,99999, 20170115,   31.9,16,   22.5,16, 1016.6,16,  985.0,16,  14.7,16,   8.9,16,  13.6, 999.9,   34.7*,  27.0*,99.99 ,999.9, 011000,
