STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
865800,99999,20170101,78.8,24,70.9,24,1007,8,1003.2,8,7.3,15,5.7,24,15.9,26,   87.8*,  71.6*, 0.00G,999.9,10010,uy
865800,99999,20170102,74.2,24,61.6,24,1013.1,8,1009.2,8,8.5,10,10.4,24,15,999.9,88.2,  69.8*, 0.29G,999.9,0,uy
865800,99999,20170103,70.9,24,66,24,1007.4,7,1003.4,7,5.8,20,10,24,20,56.9,   80.6*,  67.5*, 0.00G,999.9,10010,uy
865800,99999,20170104,72.3,24,67.4,24,1004.1,8,1000.2,8,7.2,18,5.6,24,15.9,999.9,   81.0*,  66.2*, 0.99G,999.9,10010,uy
865800,99999,20170105,71.1,23,62.8,22,1010,5,1006.1,5,3.9,16,7.9,22,20,29.9,   82.4*,  62.6*, 0.00G,999.9,100000,uy
865800,99999,20170106,68,24,54.9,24,1017.3,8,1013.3,8,8.7,16,7.9,24,12,999.9,82.8,  57.2*, 0.00G,999.9,0,uy
865800,99999,20170107,77.2,24,61.5,24,1012.1,8,1008.2,8,10.4,9,8.2,24,12,20,   91.4*,  62.6*, 0.00G,999.9,0,uy
865800,99999,20170108,77.5,24,69.9,24,1008.5,7,1004.6,7,6.5,21,7.1,24,22,25.1,91.4,  73.4*, 0.00G,999.9,0,uy
865800,99999,20170109,76.6,24,71.6,24,1004.2,8,1000.4,8,5.9,24,5.7,24,24.1,999.9,84.6,  71.2*, 1.25G,999.9,10010,uy
865800,99999,20170110,71.4,24,62.5,24,1008.8,8,1004.9,8,7.3,19,10.7,24,25.1,35,84.2,  68.0*, 0.59G,999.9,10010,uy
865800,99999,20170111,70.4,23,55.6,23,1014.3,8,1010.3,8,10.1,8,6.1,23,9.9,999.9,   83.1*,  59.0*, 0.00G,999.9,0,uy
865800,99999,20170112,76.1,24,61.4,24,1013.4,8,1009.4,8,10.4,8,7,24,9.9,999.9,   89.6*,  62.6*, 0.00G,999.9,0,uy
865800,99999,20170113,75.5,24,64.7,24,1007.7,7,1003.8,7,7.5,11,12,23,19,999.9,89.6,  69.8*, 0.00G,999.9,10010,uy
865800,99999,20170114,69.3,24,56.3,24,1011.7,8,1007.7,8,10.2,8,8.1,24,17.1,999.9,84.7,  62.6*, 0.13G,999.9,0,uy
865800,99999,20170115,70.4,24,61.1,24,1010,8,1006.1,8,9,10,9.7,24,15,22,   77.0*,  60.8*, 0.00G,999.9,0,uy
865800,99999,20170116,72.7,22,67.7,22,1007.5,7,1003.6,7,6.7,19,11.8,22,20,999.9,   77.0*,  69.8*, 0.04G,999.9,10000,uy
865800,99999,20170117,73.9,23,71,23,1004.5,7,1000.6,7,5.7,21,6.5,23,13,999.9,   79.2*,  69.8*, 0.05G,999.9,110000,uy
865800,99999,20170118,74.1,22,62.8,22,1009.6,7,1005.7,7,8.4,10,8,22,13,999.9,79.9,  71.6*, 0.00G,999.9,0,uy
865800,99999,20170119,74.6,24,58.9,24,1015.4,7,1011.5,7,8.5,8,12,24,22,32.1,   89.6*,  62.6*, 0.00G,999.9,0,uy
865800,99999,20170120,76.4,23,64,23,1017.4,8,1013.5,8,8.3,10,11.5,23,29.9,46,90.3,  68.0*, 0.01G,999.9,10000,uy
865800,99999,20170121,78.3,24,64,24,1017.5,8,1013.5,8,11.8,8,7.8,24,13,999.9,   91.4*,  66.2*, 0.00G,999.9,0,uy
865800,99999,20170122,75.8,24,65.2,24,1015.4,8,1011.5,8,8.9,8,6.9,24,15.9,999.9,92.1,  66.2*, 0.00G,999.9,0,uy
865800,99999,20170123,73.9,24,66.1,24,1014.9,6,1011,6,7.8,12,6.5,24,12,999.9,88.2,  68.0*, 0.00G,999.9,0,uy
865800,99999,20170124,77.7,24,66.3,24,1008.6,6,1004.8,6,8.1,13,7.5,24,15,29.9,   89.6*,  68.0*, 0.00G,999.9,0,uy
865800,99999,20170125,68.7,24,61.8,24,1010.3,7,1006.4,7,6.6,24,13.5,23,20,35,89.6,  64.4*, 0.29G,999.9,10000,uy
865800,99999,20170126,65.8,24,54.9,24,1016.8,6,1012.8,6,6.7,24,13.5,24,18.1,999.9,72.3,  64.4*, 0.09G,999.9,10000,uy
865800,99999,20170127,69,18,55.4,18,1020,6,1016,6,7.1,15,6.6,18,12,999.9,   73.4*,  60.4*, 0.08G,999.9,0,uy
865800,99999,20170128,69.7,24,58.5,24,1018.8,8,1014.9,8,10.9,8,6.2,24,9.9,999.9,   82.4*,  58.3*, 0.00G,999.9,0,uy
865800,99999,20170129,75.5,24,62.7,24,1017.6,7,1013.7,7,9.5,7,7.7,24,13,999.9,   87.8*,  62.6*, 0.00G,999.9,0,uy
865800,99999,20170130,81.1,24,67.9,24,1015.1,7,1011.2,7,8.2,15,9,24,13,999.9,   91.4*,  72.9*, 0.00G,999.9,0,uy
865800,99999,20170131,78.7,24,71.3,24,1012.8,8,1008.9,8,7,15,8.2,24,15,25.1,92.1,  71.6*, 0.00G,999.9,110010,uy
