STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
166430,99999, 20170101,   44.7,17,   34.3,17, 9999.9, 0, 9999.9, 0,   6.2,12,   3.8,17,   6.0,  11.1,   53.6*,  35.4 , 0.00G,999.9, 000000,
166430,99999, 20170102,   46.2,24,   37.7,24, 9999.9, 0, 9999.9, 0,   6.2,23,   5.1,24,   8.0,   9.9,   57.2*,  40.5 , 0.00G,999.9, 000000,
166430,99999, 20170103,   46.7,19,   39.7,19, 9999.9, 0, 9999.9, 0,   6.2,19,   4.9,19,   8.0,  12.0,   55.4*,  40.5 , 0.00G,999.9, 000000,
166430,99999, 20170104,   48.5,23,   45.1,23, 9999.9, 0, 9999.9, 0,   6.2,23,   3.6,23,   7.0,   9.9,   53.6*,  44.6*, 0.13G,  0.4, 010000,
166430,99999, 20170105,   51.8,22,   45.8,22, 9999.9, 0, 9999.9, 0,   6.1,22,  10.1,22,  33.0,  40.0,   57.2*,  45.3 , 0.54G,  0.4, 010000,
166430,99999, 20170106,   43.6,22,   31.0,22, 9999.9, 0, 9999.9, 0,   6.2,22,   9.6,22,  19.0,  27.0,   50.4*,  32.0*, 0.50G,999.9, 010000,
166430,99999, 20170107,   34.6,24,   19.7,24, 9999.9, 0, 9999.9, 0,   6.2,24,  12.2,24,  15.0,  24.1,   39.2*,  32.0*, 0.13G,999.9, 000000,
166430,99999, 20170108,   33.7,23,   17.0,23, 9999.9, 0, 9999.9, 0,   6.2,23,   7.3,23,  12.0,  19.0,   39.9*,  29.1 , 0.00G,999.9, 000000,
166430,99999, 20170109,   36.1,23,   17.3,23, 9999.9, 0, 9999.9, 0,   6.1,23,   8.2,23,  17.1,  22.0,   42.8*,  30.2*, 0.00G,999.9, 001000,
166430,99999, 20170110,   34.9,22,   26.7,22, 9999.9, 0, 9999.9, 0,   6.1,22,   4.5,22,  12.0,  20.0,   39.2*,  30.2*, 0.00G,999.9, 001000,
166430,99999, 20170111,   39.3,23,   35.9,23, 9999.9, 0, 9999.9, 0,   5.9,23,   7.6,23,  18.1,  25.1,   42.8*,  34.9*,99.99 ,  0.4, 010000,
166430,99999, 20170112,   40.3,24,   32.6,24, 9999.9, 0, 9999.9, 0,   6.2,24,   3.8,24,   8.0, 999.9,   50.0*,  32.0*, 0.36G,999.9, 000000,
