STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
264225,99999, 20170101,   43.1,24,   41.6,24, 9999.9, 0, 9999.9, 0,   5.3,24,   8.0,24,  11.1, 999.9,   45.0 ,  37.4*, 0.13F,999.9, 010000,
264225,99999, 20170102,   32.5,24,   32.2,24, 9999.9, 0, 9999.9, 0,   5.6,23,   4.4,24,  12.0, 999.9,   38.1*,  28.4*, 0.16F,999.9, 011000,
264225,99999, 20170103,   26.3,24,   25.6,24, 9999.9, 0, 9999.9, 0,   5.9,21,   6.1,24,  11.1, 999.9,   31.1 ,  19.4*, 0.24F,  3.5, 001000,
264225,99999, 20170104,   21.7,24,   19.5,24, 9999.9, 0, 9999.9, 0,   3.0,24,  16.0,24,  22.0,  31.1,   28.4*,  10.4*, 0.28F,  5.5, 001000,
264225,99999, 20170105,    9.9,24,    4.2,24, 9999.9, 0, 9999.9, 0,   5.8,22,  14.8,24,  21.0,  25.1,   12.6 ,   5.0*, 0.00E,  6.3, 001000,
264225,99999, 20170106,    5.2,24,    1.0,24, 9999.9, 0, 9999.9, 0,   6.2,24,   4.3,24,   9.9, 999.9,   12.2 ,  -4.0*,99.99 ,  5.9, 001000,
264225,99999, 20170107,    4.4,24,    2.4,24, 9999.9, 0, 9999.9, 0,   5.3,24,   8.3,24,  12.0, 999.9,   14.2*,  -5.8*, 0.00E,  4.7, 001000,
264225,99999, 20170108,   21.5,24,   20.4,24, 9999.9, 0, 9999.9, 0,   4.5,24,   5.9,24,   9.9, 999.9,   26.6*,  11.8 , 0.01E,  4.3, 001000,
264225,99999, 20170109,   28.2,24,   27.4,24, 9999.9, 0, 9999.9, 0,   4.5,24,   9.1,24,  12.0, 999.9,   31.1 ,  17.6*, 0.01F,  4.3, 011000,
264225,99999, 20170110,   22.0,24,   19.9,24, 9999.9, 0, 9999.9, 0,   4.9,17,   9.7,24,  13.0, 999.9,   30.4 ,  10.4*, 0.00F,999.9, 001000,
264225,99999, 20170111,   17.1,24,   13.1,24, 9999.9, 0, 9999.9, 0,   5.1,10,  15.3,24,  21.0, 999.9,   21.9 ,  12.2*, 0.00I,  3.1, 000000,
264225,99999, 20170112,   23.5,24,   21.1,24, 9999.9, 0, 9999.9, 0,   4.7,22,  15.3,24,  21.0,  31.1,   33.8*,  19.4*, 0.02E,  3.1, 001000,
264225,99999, 20170113,   33.1,24,   32.2,24, 9999.9, 0, 9999.9, 0,   4.7,24,   7.9,24,  12.0, 999.9,   34.7 ,  25.5 , 0.06F,  3.5, 011000,
264225,99999, 20170114,   30.7,24,   30.7,24, 9999.9, 0, 9999.9, 0,   2.6,24,   1.5,24,   6.0, 999.9,   32.7 ,  28.4*, 0.13F,  5.5, 011000,
264225,99999, 20170115,   30.9,24,   30.9,24, 9999.9, 0, 9999.9, 0,   5.6,23,   2.8,24,   6.0, 999.9,   32.9 ,  24.8*, 0.00E,  4.7, 001000,
264225,99999, 20170116,   22.0,24,   22.0,24, 9999.9, 0, 9999.9, 0,   4.7,24,   2.0,24,   4.1, 999.9,   29.3*,  14.0*, 0.00F,  4.3, 101000,
